observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T07:40:23Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,HL ALYSSA WARNER LNG,9972359.0,636024983.0,Liberia,Tanker,89033.0,21.648771666666665,-76.04478333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,AL KHARRARAH LNG,9976939.0,636024984.0,Liberia,Tanker,94326.0,28.079093333333333,-92.771265,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
