vessel_a_mmsi,vessel_b_mmsi,vessel_a_name,vessel_b_name,zone,overlap_start,overlap_end,overlap_seconds,overlap_hours,avg_distance_nm,min_distance_nm,vessel_a_avg_speed,vessel_b_avg_speed,vessel_a_draught_change,vessel_b_draught_change,sts_score
538003099.0,563574000.0,AL AAMRIYA LNG,SHANDONG JUNIPER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,310.64656627558185,307.36861714756867,,,,,0.55
538003099.0,620800330.0,AL AAMRIYA LNG,TEAK LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,314.18050836099286,310.963346204547,,,,,0.55
538003099.0,636023905.0,AL AAMRIYA LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,312.8019754475334,309.5826303090141,,,,,0.55
538003099.0,538011214.0,AL AAMRIYA LNG,FUJI LNG LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,427.56843590640227,424.2586570663768,,,,,0.55
538003099.0,636025820.0,AL AAMRIYA LNG,NILA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,319.5751780063681,316.360668513892,,,,,0.55
538003099.0,533920000.0,AL AAMRIYA LNG,PUTERI MUTIARA SATU LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,319.32820047009596,316.11411836877033,,,,,0.55
538003099.0,533868000.0,AL AAMRIYA LNG,SERI BALHAF LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,320.6178044068931,317.33726318148337,,,,,0.55
538003099.0,241352000.0,AL AAMRIYA LNG,MARAN GAS TROY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,427.2839405757226,423.95997966172575,,,,,0.55
538003099.0,241414000.0,AL AAMRIYA LNG,MARAN GAS AMPHIPOLIS LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,402.2741477218802,398.5953549412698,,,,,0.55
538003099.0,256056000.0,AL AAMRIYA LNG,COOL RIDER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,431.9598586319498,428.67616378111774,,,,,0.55
538003099.0,310495000.0,AL AAMRIYA LNG,LNG BENUE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,431.5410189545251,428.15951508091797,,,,,0.55
538003099.0,310779000.0,AL AAMRIYA LNG,GASLOG GLADSTONE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,436.53224888948733,433.22632759339314,,,,,0.55
538003099.0,310806000.0,AL AAMRIYA LNG,GASLOG GALVESTON LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,431.7163912046847,428.31323438081677,,,,,0.55
538003099.0,311000185.0,AL AAMRIYA LNG,ASIA ENDEAVOUR LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,434.010970350921,431.4937914198621,,,,,0.55
538003099.0,533894000.0,AL AAMRIYA LNG,SERI BALQIS LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,320.99779483893445,317.7232635513247,,,,,0.55
538003099.0,311001874.0,AL AAMRIYA LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,312.1045822621444,308.885853350549,,,,,0.55
538003099.0,431778000.0,AL AAMRIYA LNG,PACIFIC MIMOSA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,427.1674414612633,423.8412079437558,,,,,0.55
538003099.0,477732500.0,AL AAMRIYA LNG,LNG JIA XING LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,332.7581705379986,329.09441851469046,,,,,0.55
538003099.0,525114138.0,AL AAMRIYA LNG,ARUNIKA JAYA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,458.53344343494297,455.15955372963447,,,,,0.55
538003099.0,525701066.0,AL AAMRIYA LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,427.1754849832821,423.8500837725735,,,,,0.55
538003099.0,525901876.0,AL AAMRIYA LNG,DANAPUTRI 1 LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,446.1630691627326,442.83647455846966,,,,,0.55
538003099.0,533130753.0,AL AAMRIYA LNG,SERI CEMARA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,450.4356537019903,447.0384246461106,,,,,0.55
538003099.0,372307000.0,AL AAMRIYA LNG,TAITAR NO.2 LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,196.44507,0.054568074999999994,387.754694133389,387.754694133389,,,,,0.55
538003099.0,654311424.0,AL AAMRIYA LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,310.62164966777317,307.4140267055174,,,,,0.55
538003099.0,538002921.0,AL AAMRIYA LNG,TEMBEK LNG,strait_of_malacca,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,106.012925,0.02944803472222222,26.869719901456044,26.869719901456044,,,,,0.55
538003295.0,538004983.0,AL SAMRIYA LNG,KOOL HUSKY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,232.16847706473925,231.03766162017655,,,,,0.55
538003295.0,538007985.0,AL SAMRIYA LNG,SINGAPORE ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,334.10512961289584,332.87340054175206,,,,,0.55
538003295.0,538008352.0,AL SAMRIYA LNG,MERCHANT LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,335.6411964866249,334.4047507343719,,,,,0.55
538003295.0,538008396.0,AL SAMRIYA LNG,HONGKONG ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,332.92650280988624,331.6802050287532,,,,,0.55
